t, ñ	I, À
0.0		0.86
10.0	0.87
20.0	0.89
30.0	0.86
40.0	0.82
50.0	0.84
60.0	0.88
70.0	0.83
80.0	0.89
100.0	0.85
120.0	0.91
140.0	0.89
160.0	0.90
180.0	0.85
200.0	0.87
220.0	0.95
240.0	0.91
260.0	0.98
280.0	0.96
300.0	0.95
320.0	0.94
340.0	1.00
360.0	1.01
380.0	0.98
400.0	1.01
420.0	0.99
440.0	1.03
460.0	1.02
480.0	0.98
500.0	1.00
520.0	1.02
540.0	1.05
560.0	1.02
580.0	1.00
600.0	1.05
620.0	1.00
640.0	1.05
660.0	1.10
680.0	1.07
700.0	1.06
720.0	1.12
740.0	1.10
760.0	1.07
780.0	1.11
800.0	1.14
820.0	1.09
840.0	1.13
860.0	1.12
880.0	1.13
900.0	1.14
920.0	1.18
940.0	1.14
960.0	1.17
980.0	1.16
1000.0	1.15
1020.0	1.19
1040.0	1.17
1060.0	1.13
1080.0	1.16
1100.0	1.19
1120.0	1.17
1140.0	1.22
1180.0	1.24
1200.0	1.22
1240.0	1.25
1260.0	1.21
1280.0	1.24
1300.0	1.25
1320.0	1.24
1340.0	1.25
1360.0	1.22
1380.0	1.27
1400.0	1.26
1420.0	1.25
1440.0	1.26
1460.0	1.27
1480.0	1.24
1500.0	1.27
